classificacao,nome_robo,pontuacao_final,sobrevivencia,bonus_ultima_sobrevivencia,dano_disparo,bonus_disparo_morte,colisao_dano,bonus_colisao_morte,1lugar,2lugar,3lugar
1,sample.Tracker,1066,700,0,310,56,1,0,0,1,0
1,sample.SpinBot,982,600,0,348,9,25,0,0,0,0
1,sample.Corners,803,550,0,230,23,0,0,0,0,0
1,sample.Crazy,792,650,0,123,1,18,0,0,0,1
2,sample.TrackFire,657,350,0,271,36,0,0,0,0,0
2,sample.VelociRobot,620,450,0,132,0,38,0,0,0,0
2,sample.Fire,600,500,0,97,3,0,0,0,0,0
2,sample.MyFirstRobot,492,400,0,88,0,4,0,0,0,0
3,sample.Target,300,300,0,0,0,0,0,0,0,0
3,sample.RamFire,300,150,0,112,0,38,0,0,0,0
3,sample.SittingDuck,250,250,0,0,0,0,0,0,0,0
3,sample.Interactive,200,200,0,0,0,0,0,0,0,0
3,sample.Interactive_v2,100,100,0,0,0,0,0,0,0,0
3,sample.PaintingRobot,66,50,0,16,0,0,0,0,0,0
3,sample.MyFirstJuniorRobot,20,0,0,16,0,4,0,0,0,0
1,sample.Walls,1254,750,150,320,28,5,0,1,0,0
1,sample.SpinBot,1074,700,0,335,23,16,0,0,1,0
1,sample.Tracker,842,550,0,254,16,23,0,0,0,0
1,sample.Fire,794,600,0,175,18,0,0,0,0,0
1,sample.RamFire,678,350,0,206,12,84,27,0,0,0
2,sample.Interactive_v2,650,650,0,0,0,0,0,0,0,1
2,sample.PaintingRobot,576,450,0,120,0,6,0,0,0,0
2,sample.MyFirstRobot,560,500,0,60,0,0,0,0,0,0
2,sample.MyFirstJuniorRobot,410,300,0,97,7,6,0,0,0,0
2,sample.Target,404,400,0,0,0,4,0,0,0,0
3,sample.Corners,322,250,0,72,0,0,0,0,0,0
3,sample.TrackFire,216,100,0,102,14,0,0,0,0,0
3,sample.VelociRobot,203,150,0,40,0,13,0,0,0,0
3,sample.Interactive,200,200,0,0,0,0,0,0,0,0
3,sample.Crazy,146,50,0,12,0,84,0,0,0,0
3,sample.SittingDuck,0,0,0,0,0,0,0,0,0,0
1,sample.Walls,1251,750,150,317,30,5,0,1,0,0
1,sample.TrackFire,979,700,0,238,41,0,0,0,1,0
1,sample.SpinBot,876,600,0,235,29,12,0,0,0,0
1,sample.Fire,678,500,0,163,13,1,0,0,0,0
1,sample.Tracker,665,250,0,257,24,82,53,0,0,0
2,sample.Target,654,650,0,0,0,4,0,0,0,1
2,sample.PaintingRobot,650,550,0,100,0,0,0,0,0,0
2,sample.MyFirstJuniorRobot,477,400,0,76,0,1,0,0,0,0
2,sample.Interactive,450,450,0,0,0,0,0,0,0,0
2,sample.Crazy,431,350,0,64,0,17,0,0,0,0
3,sample.RamFire,319,200,0,96,0,23,0,0,0,0
3,sample.Interactive_v2,300,300,0,0,0,0,0,0,0,0
3,sample.MyFirstRobot,172,150,0,20,0,2,0,0,0,0
3,sample.Corners,140,100,0,40,0,0,0,0,0,0
3,sample.VelociRobot,70,0,0,20,0,50,0,0,0,0
